time,breath,heart,distance
259327,19.00,100.00,34.44
259927,20.00,100.00,34.44
260527,21.00,100.00,34.44
261231,20.00,100.00,34.44
261831,20.00,98.00,34.44
262431,20.00,97.00,40.18
263035,20.00,95.00,40.18
263635,19.00,93.00,34.44
264335,19.00,91.00,34.44
264939,20.00,89.00,28.70
265539,19.00,88.00,28.70
266139,20.00,88.00,28.70
266743,21.00,86.00,28.70
267443,21.00,86.00,28.70
268043,22.00,85.00,34.44
268643,21.00,84.00,34.44
269248,22.00,84.00,34.44
269948,22.00,83.00,28.70
270548,22.00,83.00,34.44
271152,23.00,83.00,34.44
271752,23.00,84.00,34.44
272552,23.00,85.00,28.70
273056,23.00,85.00,28.70
273656,23.00,85.00,28.70
274256,23.00,86.00,34.44
274860,21.00,89.00,28.70
275560,20.00,93.00,28.70
276160,20.00,96.00,28.70
276764,20.00,99.00,28.70
277364,19.00,101.00,28.70
277964,18.00,104.00,28.70
278664,17.00,107.00,34.44
279268,16.00,109.00,34.44
279868,17.00,111.00,34.44
280468,17.00,113.00,34.44
281072,18.00,114.00,28.70
281672,19.00,116.00,28.70
282372,20.00,118.00,28.70
282976,21.00,119.00,22.96
283576,21.00,118.00,28.70
284176,21.00,118.00,28.70
284780,21.00,116.00,28.70
285380,22.00,113.00,28.70
286080,21.00,113.00,28.70
286680,21.00,114.00,28.70
287285,21.00,114.00,28.70
287885,21.00,116.00,28.70
288485,22.00,117.00,28.70
289089,22.00,117.00,34.44
289689,23.00,116.00,34.44
290489,24.00,113.00,34.44
290993,25.00,111.00,34.44
291593,26.00,108.00,40.18
292193,26.00,107.00,34.44
292797,23.00,105.00,28.70
293397,18.00,102.00,28.70
293997,14.00,101.00,28.70
294697,11.00,100.00,28.70
295301,11.00,100.00,28.70
295901,12.00,99.00,28.70
296501,13.00,98.00,34.44
297105,14.00,98.00,34.44
297705,15.00,98.00,34.44
298305,17.00,98.00,34.44
298909,18.00,98.00,34.44
299509,18.00,99.00,34.44
300109,18.00,99.00,34.44
300709,18.00,99.00,34.44
301314,18.00,99.00,34.44
302014,19.00,99.00,34.44
302614,18.00,99.00,34.44
303218,17.00,99.00,34.44
303818,17.00,99.00,34.44
